Round,Variable,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
R07,Material_Inventory_Assets,18000,0,0,30000,6000,20000,0,0,0,0
R07,Product_in_Process_Assets,72500,80000,52500,87500,52500,60000,63500,60000,60000,50000
R07,Inventory_Assets,90500,80000,52500,117500,58500,80000,63500,60000,60000,50000
R07,Fixed_Assets,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
R07,Assets,557360,549566,566000,555650,566365,560588,556230,528690,567770,535410
R07,Cost_of_Product_Manufactured,70000,75000,50000,95000,55000,75000,67500,55000,60000,65000
R07,Gross_Profit,32060,31500,31000,29200,33110,31535,31050,28930,33600,29800
R07,Operating_Profit,12060,11500,11000,9200,13110,11535,11050,8930,13600,9800
R07,Ordinary_Profit,12060,11500,11000,9200,13110,11535,11050,8930,13600,9800
R07,Current_Liabilities,0,0,0,0,0,0,0,0,0,0
R07,Retained_Earnings,57360,49566,66000,55650,66365,60588,56230,28690,67770,35410
R07,Capital_Stock,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
R07,Liabilities_and_Owners_Equity,557360,549566,566000,555650,566365,560588,556230,528690,567770,535410
R08,Product_Demand,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394
R08,Material_Price,400,400,400,400,400,400,400,400,400,400
R08,General_and_Administrative_Expenses,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
R08,Selling_Price,729,709,815,700,805,795,755,780,780,800
R08,Production_Order,145,170,105,150,110,140,140,115,120,110
R08,Materials_Procurement,145,170,105,150,110,130,145,100,130,120
R08,Cumulative_Selling_Price,5882,5661,6375,5680,6447,5944,5864,5845,6216,6075
R08,Unit_Manufacturing_Cost,100,100,100,100,100,100,100,100,100,100
R08,Materials_Ordered,145,170,105,150,110,130,145,100,130,120
R08,Materials_Delivered,145,170,105,175,100,100,140,140,120,110
R08,Cumulative_Materials_Delivered,1075,1150,810,1305,850,1070,1022,930,890,860
R08,Procurement_Cost,58000,68000,42000,70000,40000,40000,56000,56000,48000,44000
R08,Max_Production_Quantity,190,170,105,250,115,150,140,140,120,110
R08,Number_of_Production_Order,145,170,105,150,110,140,140,115,120,110
R08,Number_of_Products_in_Process,145,170,105,150,110,140,140,115,120,110
R08,Material_Inventory,45,0,0,100,5,10,0,25,0,0
R08,Number_of_Products_Produced,145,160,105,175,105,120,127,120,120,100
R08,Cumulative_Number_of_Products_Produced,985,1080,805,1155,835,1020,982,890,870,850
R08,Production_Cost,14500,17000,10500,15000,11000,14000,14000,11500,12000,11000
R08,Number_of_Products_Ready_for_Sale,145,160,105,175,105,120,127,120,120,100
R08,Customer_Visited,157,167,110,180,118,123,137,130,130,121
R08,Cumulative_Customer_Visited,1087,1205,861,1227,850,1069,1091,1068,931,969
R08,Number_of_Sales,145,160,105,175,105,120,127,120,120,100
R08,Cumulative_Number_of_Sales,985,1078,805,1145,815,1006,982,885,870,829
R08,Product_Shortage,12,7,5,5,13,3,10,10,10,21
R08,Cumulative_Product_Shortage,-102,-127,-56,-82,-35,-63,-109,-183,-61,-140
R08,Shortage_Cost,2748,1463,1575,1000,3965,885,2550,2800,2800,6300
R08,Cumulative_Shortage_Cost,-24118,-26147,-16450,-18360,-10519,-15015,-24952,-39110,-16433,-33935
R08,Product_Inventory,0,0,0,0,0,0,0,0,0,0
R08,Product_Disposed,0,0,0,0,0,0,0,0,0,0
R08,Cumulative_Product_Disposed,0,-2,0,-10,-20,-14,0,-5,0,-21
R08,Cumulative_Disposal_Loss,0,-1000,0,-5000,-10000,-7000,0,-2500,0,-10500
R08,Sales,105705,113440,85575,122500,84525,95400,95885,93600,93600,80000
R08,Cumulative_Sales,723065,763006,641575,808150,655890,745988,719615,647290,676370,630410
R08,Debt,0,0,0,0,0,0,0,0,0,0
R08,Interest_Expense,0,0,0,0,0,0,0,0,0,0
R08,Cash_Flow,13205,8440,13075,17500,13525,21400,5885,6100,13600,5000
R08,Cumulative_Cash_Flow,30065,28006,76575,5650,71390,51988,48615,24790,71370,40410
R08,Cash,230065,228006,276575,205650,271390,251988,248615,224790,271370,240410
R08,Material_Inventory_Assets,18000,0,0,40000,2000,4000,0,10000,0,0
R08,Product_in_Process_Assets,72500,85000,52500,75000,55000,70000,70000,57500,60000,55000
R08,Inventory_Assets,90500,85000,52500,115000,57000,74000,70000,67500,60000,55000
R08,Fixed_Assets,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
R08,Assets,570565,563006,579075,570650,578390,575988,568615,542290,581370,545410
R08,Cost_of_Product_Manufactured,72500,80000,52500,87500,52500,60000,63500,60000,60000,50000
R08,Gross_Profit,33205,33440,33075,35000,32025,35400,32385,33600,33600,30000
R08,Operating_Profit,13205,13440,13075,15000,12025,15400,12385,13600,13600,10000
R08,Ordinary_Profit,13205,13440,13075,15000,12025,15400,12385,13600,13600,10000
R08,Current_Liabilities,0,0,0,0,0,0,0,0,0,0
R08,Retained_Earnings,70565,63006,79075,70650,78390,75988,68615,42290,81370,45410
R08,Capital_Stock,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
R08,Liabilities_and_Owners_Equity,570565,563006,579075,570650,578390,575988,568615,542290,581370,545410
R09,Product_Demand,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406
R09,Material_Price,400,400,400,400,400,400,400,400,400,400
R09,General_and_Administrative_Expenses,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
R09,Selling_Price,729,711,825,705,808,780,755,800,790,799
R09,Production_Order,155,170,105,175,115,130,145,110,130,100
R09,Materials_Procurement,125,170,105,200,120,150,148,85,130,120
R09,Cumulative_Selling_Price,6611,6372,7200,6385,7255,6724,6619,6645,7006,6874
R09,Unit_Manufacturing_Cost,100,100,100,100,100,100,100,100,100,100
R09,Materials_Ordered,125,170,105,200,120,150,148,85,130,120
R09,Materials_Delivered,145,170,105,150,110,130,145,100,130,120
R09,Cumulative_Materials_Delivered,1220,1320,915,1455,960,1200,1167,1030,1020,980
R09,Procurement_Cost,58000,68000,42000,60000,44000,52000,58000,40000,52000,48000
R09,Max_Production_Quantity,190,170,105,250,115,140,145,125,130,120
R09,Number_of_Production_Order,155,170,105,175,115,130,145,110,130,100
R09,Number_of_Products_in_Process,155,170,105,175,115,130,145,110,130,100
R09,Material_Inventory,35,0,0,75,0,10,0,15,0,20
R09,Number_of_Products_Produced,145,170,105,150,110,140,140,115,120,110
R09,Cumulative_Number_of_Products_Produced,1130,1250,910,1305,945,1160,1122,1005,990,960
R09,Production_Cost,15500,17000,10500,17500,11500,13000,14500,11000,13000,10000
R09,Number_of_Products_Ready_for_Sale,145,170,105,150,110,140,140,115,120,110
R09,Customer_Visited,157,172,110,178,113,132,142,118,123,113
R09,Cumulative_Customer_Visited,1244,1377,971,1405,963,1201,1233,1186,1054,1082
R09,Number_of_Sales,145,170,105,150,110,132,140,115,120,110
R09,Cumulative_Number_of_Sales,1130,1248,910,1295,925,1138,1122,1000,990,939
R09,Product_Shortage,12,2,5,28,3,0,2,3,3,3
R09,Cumulative_Product_Shortage,-114,-129,-61,-110,-38,-63,-111,-186,-64,-143
R09,Shortage_Cost,2748,422,1625,5740,924,0,510,900,870,897
R09,Cumulative_Shortage_Cost,-26866,-26569,-18075,-24100,-11443,-15015,-25462,-40010,-17303,-34832
R09,Product_Inventory,0,0,0,0,0,0,0,0,0,0
R09,Product_Disposed,0,0,0,0,0,8,0,0,0,0
R09,Cumulative_Product_Disposed,0,-2,0,-10,-20,-22,0,-5,0,-21
R09,Cumulative_Disposal_Loss,0,-1000,0,-5000,-10000,-11000,0,-2500,0,-10500
R09,Sales,105705,120870,86625,105750,88880,102960,105700,92000,94800,87890
R09,Cumulative_Sales,828770,883876,728200,913900,744770,848948,825315,739290,771170,718300
R09,Debt,0,0,0,0,0,0,0,0,0,0
R09,Interest_Expense,0,0,0,0,0,0,0,0,0,0
R09,Cash_Flow,12205,15870,14125,8250,13380,17960,13200,21000,9800,9890
R09,Cumulative_Cash_Flow,42270,43876,90700,13900,84770,69948,61815,45790,81170,50300
R09,Cash,242270,243876,290700,213900,284770,269948,261815,245790,281170,250300
R09,Material_Inventory_Assets,14000,0,0,30000,0,4000,0,6000,0,8000
R09,Product_in_Process_Assets,77500,85000,52500,87500,57500,65000,72500,55000,65000,50000
R09,Inventory_Assets,91500,85000,52500,117500,57500,69000,72500,61000,65000,58000
R09,Fixed_Assets,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
R09,Assets,583770,578876,593200,581400,592270,588948,584315,556790,596170,558300
R09,Cost_of_Product_Manufactured,72500,85000,52500,75000,55000,70000,70000,57500,60000,55000
R09,Gross_Profit,33205,35870,34125,30750,33880,32960,35700,34500,34800,32890
R09,Operating_Profit,13205,15870,14125,10750,13880,12960,15700,14500,14800,12890
R09,Ordinary_Profit,13205,15870,14125,10750,13880,12960,15700,14500,14800,12890
R09,Current_Liabilities,0,0,0,0,0,0,0,0,0,0
R09,Retained_Earnings,83770,78876,93200,81400,92270,88948,84315,56790,96170,58300
R09,Capital_Stock,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
R09,Liabilities_and_Owners_Equity,583770,578876,593200,581400,592270,588948,584315,556790,596170,558300
,,,,,,,,,,,
