Round,Variable,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
R02,Sales,75900,71000,77000,73500,80000,72500,75000,70000,77000,73000
R02,Cumulative_Sales,150800,141100,155000,148500,151400,147500,147000,138000,152000,144000
R02,Debt,0,0,0,0,0,0,0,0,0,0
R02,Interest_Expense,0,0,0,0,0,0,0,0,0,0
R02,Cash_Flow,-16100,-9000,7000,-19000,1500,-42500,-10000,-20000,7000,3000
R02,Cumulative_Cash_Flow,-11200,-8900,15000,-14000,2900,-37500,-8000,-22000,12000,4000
R02,Cash,188800,191100,215000,186000,202900,162500,192000,178000,212000,204000
R02,Material_Inventory_Assets,12000,0,0,10000,6000,20000,0,0,0,0
R02,Product_in_Process_Assets,60000,60000,50000,62500,52500,75000,65000,70000,50000,50000
R02,Inventory_Assets,72000,60000,50000,72500,58500,95000,65000,70000,50000,50000
R02,Fixed_Assets,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
R02,Assets,510800,501100,515000,508500,511400,507500,507000,498000,512000,504000
R02,Cost_of_Product_Manufactured,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
R02,Gross_Profit,25900,21000,27000,23500,30000,22500,25000,20000,27000,23000
R02,Operating_Profit,5900,1000,7000,3500,10000,2500,5000,0,7000,3000
R02,Ordinary_Profit,5900,1000,7000,3500,10000,2500,5000,0,7000,3000
R02,Current_Liabilities,0,0,0,0,0,0,0,0,0,0
R02,Retained_Earnings,10800,1100,15000,8500,11400,7500,7000,-2000,12000,4000
R02,Capital_Stock,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
R02,Liabilities_and_Owners_Equity,510800,501100,515000,508500,511400,507500,507000,498000,512000,504000
R03,Product_Demand,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325
R03,Material_Price,400,400,400,400,400,400,400,400,400,400
R03,General_and_Administrative_Expenses,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
R03,Selling_Price,729,709,790,720,800,690,720,710,779,735
R03,Production_Order,120,150,100,140,105,140,120,100,110,110
R03,Materials_Procurement,150,150,100,150,100,100,130,100,110,100
R03,Cumulative_Selling_Price,2237,2120,2340,2205,2450,2165,2190,2090,2299,2175
R03,Unit_Manufacturing_Cost,100,100,100,100,100,100,100,100,100,100
R03,Materials_Ordered,150,150,100,150,100,100,130,100,110,100
R03,Materials_Delivered,130,150,100,150,100,150,120,120,110,100
R03,Cumulative_Materials_Delivered,380,370,300,400,320,450,350,360,310,300
R03,Procurement_Cost,52000,60000,40000,60000,40000,60000,48000,48000,44000,40000
R03,Max_Production_Quantity,160,150,100,175,115,200,120,120,110,100
R03,Number_of_Production_Order,120,150,100,140,105,140,120,100,110,110
R03,Number_of_Products_in_Process,120,150,100,140,105,140,120,100,110,100
R03,Material_Inventory,40,0,0,35,10,60,0,20,0,0
R03,Number_of_Products_Produced,120,120,100,125,105,150,130,140,100,100
R03,Cumulative_Number_of_Products_Produced,320,320,300,325,305,350,330,340,300,300
R03,Production_Cost,12000,15000,10000,14000,10500,14000,12000,10000,11000,10000
R03,Number_of_Products_Ready_for_Sale,120,120,100,125,105,150,130,140,100,100
R03,Customer_Visited,131,136,101,130,101,146,138,136,109,125
R03,Cumulative_Customer_Visited,364,409,322,375,289,397,383,423,337,384
R03,Number_of_Sales,120,120,100,125,101,146,130,136,100,100
R03,Cumulative_Number_of_Sales,320,320,300,325,285,346,330,336,300,300
R03,Product_Shortage,11,16,1,5,0,0,8,0,9,25
R03,Cumulative_Product_Shortage,-44,-89,-22,-50,-4,-51,-53,-87,-37,-84
R03,Shortage_Cost,2519,3344,290,1100,0,0,1760,0,2511,5875
R03,Cumulative_Shortage_Cost,-10836,-18224,-6050,-12020,-1200,-12050,-11840,-16100,-9611,-18545
R03,Product_Inventory,0,0,0,0,0,0,0,0,0,0
R03,Product_Disposed,0,0,0,0,4,4,0,4,0,0
R03,Cumulative_Product_Disposed,0,0,0,0,-20,-4,0,-4,0,0
R03,Cumulative_Disposal_Loss,0,0,0,0,-10000,-2000,0,-2000,0,0
R03,Sales,87480,85080,79000,90000,80800,100740,93600,96560,77900,73500
